accelerometer_X;accelerometer_Y;accelerometer_Z;latitude;longitude;tilt;timestamp
-0.25379312;8.200391;4.537151;-22.9153618;-42.4769666;61;275094
0.0071828244;8.341654;5.1979704;-22.9153618;-42.4769666;58;275133
0.03351985;9.4095;5.5523233;-22.9153618;-42.4769666;59;275174
-0.3615355;8.444607;4.5012364;-22.9153618;-42.4769666;62;275213
-0.69194543;8.449396;3.9529476;-22.9153618;-42.4769666;65;275252
-0.48124924;9.09585;5.5619006;-22.9153618;-42.4769666;59;275293
-0.045491222;8.023215;4.4988422;-22.9153618;-42.4769666;61;275333
-0.5985687;9.593859;4.4629283;-22.9153618;-42.4769666;65;275372
-0.7589851;8.844451;5.4661293;-22.9153618;-42.4769666;58;275412
-0.7039168;8.310528;3.8571768;-22.9153618;-42.4769666;65;275453
-0.46927786;9.5244255;3.675212;-22.9153618;-42.4769666;69;275494
0.03351985;8.456578;5.547535;-22.9153618;-42.4769666;57;275533
0.31365;9.569917;4.7693954;-22.9153618;-42.4769666;64;275573
-0.10774237;9.45978;4.680807;-22.9153618;-42.4769666;64;275613
-0.600963;8.566715;6.6776323;-22.9153618;-42.4769666;52;275653
-0.34477556;9.565128;3.222694;-22.9153618;-42.4769666;71;275693
-0.85954463;9.038387;4.065479;-22.9153618;-42.4769666;66;275732
-0.18196489;9.165284;4.740664;-22.9153618;-42.4769666;63;275774
-0.15083931;8.777411;3.162837;-22.9153618;-42.4769666;70;275812
0.026337024;9.431048;3.347196;-22.9153618;-42.4769666;70;275852
-0.12210801;8.846846;4.8579836;-22.9153618;-42.4769666;61;275892
-0.44772938;8.7534685;3.2490308;-22.9153618;-42.4769666;70;275931
-0.10055954;9.323306;4.0894213;-22.9153618;-42.4769666;66;275974
-0.46927786;9.016839;3.9840732;-22.9153618;-42.4769666;66;276012
0.505192;8.597841;3.991256;-22.9153618;-42.4769666;65;276053
0.18675344;9.486116;2.727079;-22.9153618;-42.4769666;74;276093
0.2681588;9.342461;4.4030714;-22.9153618;-42.4769666;65;276132
0.21548474;9.110215;4.618556;-22.9153618;-42.4769666;63;276174
0.31843856;9.3592205;4.37434;-22.9153618;-42.4769666;65;276211
-0.0047885496;9.490906;3.668029;-22.9153618;-42.4769666;69;276252
0.17238778;9.502876;5.183605;-22.9153618;-42.4769666;61;276297
-0.05027977;9.3592205;4.642499;-22.9153618;-42.4769666;64;276330
0.10774237;9.284998;3.1412885;-22.9153618;-42.4769666;71;276371
-0.11013664;9.126976;5.073468;-22.9153618;-42.4769666;61;276410
-0.17478207;9.347249;5.0638914;-22.9153618;-42.4769666;62;276453
-0.09577099;9.196409;3.8236568;-22.9153618;-42.4769666;67;276492
0.04070267;9.04557;3.387899;-22.9153618;-42.4769666;69;276532
0.019154198;9.067119;4.8819265;-22.9153618;-42.4769666;62;276572
-0.2944958;9.395134;4.1612496;-22.9153618;-42.4769666;66;276612
-0.10055954;8.363202;4.0750556;-22.9153618;-42.4769666;64;276654
0.038308397;9.826104;4.288146;-22.9153618;-42.4769666;66;276692
-0.098165266;8.801354;4.06069;-22.9153618;-42.4769666;65;276731
-0.3902668;8.988108;3.6225379;-22.9153618;-42.4769666;68;276773
0.13647367;9.617802;4.022382;-22.9153618;-42.4769666;67;276812
0.035914123;9.5483675;3.2897336;-22.9153618;-42.4769666;71;276852
0.0670397;8.391933;4.455745;-22.9153618;-42.4769666;62;276892
-0.2849187;9.830893;4.8148866;-22.9153618;-42.4769666;64;276932
-0.05027977;8.363202;3.0886145;-22.9153618;-42.4769666;70;276972
-0.05985687;9.021627;4.113364;-22.9153618;-42.4769666;65;277013
0.052674048;8.894731;4.07745;-22.9153618;-42.4769666;65;277051
0.27055305;9.170073;3.5507095;-22.9153618;-42.4769666;69;277092
0.3902668;9.694419;3.6584518;-22.9153618;-42.4769666;69;277133
-0.48124924;9.675264;4.6736245;-22.9153618;-42.4769666;64;277172
-0.08140534;7.6353426;4.68799;-22.9153618;-42.4769666;58;277212
-0.2466103;10.9490185;3.572258;-22.9153618;-42.4769666;72;277254
-0.083799616;10.139753;7.467743;-22.9153618;-42.4769666;54;277292
-0.28731298;8.006455;4.807704;-22.9153618;-42.4769666;59;277331
0.06943397;10.544386;2.7917244;-22.9153618;-42.4769666;75;277374
-0.3974496;8.734315;5.2650104;-22.9153618;-42.4769666;59;277411
-0.36392978;8.652909;3.4118416;-22.9153618;-42.4769666;68;277458
-0.5794145;11.016058;1.7717633;-22.9153618;-42.4769666;81;277491
0.60335726;8.8085375;7.5826683;-22.9153618;-42.4769666;49;277532
0.13886794;8.741497;4.517997;-22.9153618;-42.4769666;63;277573
0.4644893;10.199611;2.0590763;-22.9153618;-42.4769666;79;277613
-1.0319325;8.274613;6.2777886;-22.9153618;-42.4769666;53;277652
-0.19154198;9.933846;5.61218;-22.9153618;-42.4769666;61;277693
0.20111908;9.581888;3.7135203;-22.9153618;-42.4769666;69;277734
-0.1340794;10.122993;5.3440213;-22.9153618;-42.4769666;62;277773
0.20351335;7.944204;2.3990633;-22.9153618;-42.4769666;73;277812
-0.45491222;9.613013;2.9952378;-22.9153618;-42.4769666;73;277853
-0.07422252;7.6281595;3.2370596;-22.9153618;-42.4769666;67;277893
0.016759925;8.449396;2.6648278;-22.9153618;-42.4769666;72;277935
0.20111908;11.293795;2.9689007;-22.9153618;-42.4769666;75;277974
0.21069619;7.005648;6.2777886;-22.9153618;-42.4769666;48;278013
0.12689656;8.43503;1.7526091;-22.9153618;-42.4769666;78;278052
0.4189981;9.251478;2.0902019;-22.9153618;-42.4769666;77;278093
-0.6847626;7.3384523;7.3049326;-22.9153618;-42.4769666;45;278132
-0.43096948;11.502096;2.9641123;-22.9153618;-42.4769666;76;278173
-0.531529;7.965752;2.073442;-22.9153618;-42.4769666;75;278215
0.19154198;8.537984;6.7566433;-22.9153618;-42.4769666;52;278252
0.39266106;9.840469;2.3966691;-22.9153618;-42.4769666;76;278292
0.42378664;8.27222;3.1412885;-22.9153618;-42.4769666;69;278336
0.09577099;8.626573;4.9274178;-22.9153618;-42.4769666;60;278372
