accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	realtime
-0.9984126	8.56911	4.331243	-22.8908825	-42.4733673	63	49614	12:26:53
-0.7398309	8.581081	7.5395713	-22.8908825	-42.4733673	49	49655	12:26:53
-0.4836435	7.676045	3.502824	-22.8908825	-42.4733673	66	49697	12:26:53
-0.3232271	10.276228	3.6632404	-22.8908825	-42.4733673	70	49736	12:26:53
-1.1875603	8.111803	4.6927786	-22.8908825	-42.4733673	60	49777	12:26:53
-0.69673395	8.61939	6.0335727	-22.8908825	-42.4733673	55	49815	12:26:53
-0.7709565	8.947405	3.7757714	-22.8908825	-42.4733673	67	49856	12:26:53
-1.9393626	9.057542	3.5387383	-22.8908825	-42.4733673	69	49897	12:26:53
-2.2625897	9.378374	7.9130783	-22.8908825	-42.4733673	51	49936	12:26:53
-0.42378664	9.905115	4.580248	-22.8908825	-42.4733673	65	49975	12:26:53
-1.4293821	8.796566	6.002447	-22.8908825	-42.4733673	56	50018	12:26:54
-1.1995317	9.914692	4.843618	-22.8908825	-42.4733673	64	50055	12:26:54
-1.7047237	9.311335	5.6552773	-22.8908825	-42.4733673	59	50095	12:26:54
-1.2689656	8.837268	5.7103453	-22.8908825	-42.4733673	57	50137	12:26:54
-1.3288225	8.865999	3.572258	-22.8908825	-42.4733673	68	50177	12:26:54
-1.2641771	9.340066	4.599402	-22.8908825	-42.4733673	64	50217	12:26:54
-1.1899546	8.734315	5.087834	-22.8908825	-42.4733673	60	50256	12:26:54
-0.24421602	8.880365	5.3105016	-22.8908825	-42.4733673	59	50293	12:26:54
-0.25379312	8.08786	4.067873	-22.8908825	-42.4733673	63	50334	12:26:54
-0.57223165	7.5443597	2.0279508	-22.8908825	-42.4733673	75	50377	12:26:54
-0.29928434	8.358414	4.685596	-22.8908825	-42.4733673	61	50414	12:26:54
-0.31125572	9.059936	5.9880815	-22.8908825	-42.4733673	57	50453	12:26:54
-0.22266756	6.854809	3.9337935	-22.8908825	-42.4733673	60	50494	12:26:54
-0.05506832	8.628966	3.799714	-22.8908825	-42.4733673	66	50533	12:26:54
-1.5658557	9.6585045	6.0072355	-22.8908825	-42.4733673	58	50573	12:26:54
-0.74222517	8.358414	5.114171	-22.8908825	-42.4733673	59	50615	12:26:54
-0.9720756	8.111803	5.4924664	-22.8908825	-42.4733673	56	50655	12:26:54
0.24182175	8.346442	3.3926873	-22.8908825	-42.4733673	68	50696	12:26:54
-0.40463245	7.699988	4.0367475	-22.8908825	-42.4733673	62	50736	12:26:54
-0.44533512	9.198804	5.334444	-22.8908825	-42.4733673	60	50776	12:26:54
-1.0678465	8.937828	4.886715	-22.8908825	-42.4733673	62	50816	12:26:54
-0.57223165	7.4653487	2.2362528	-22.8908825	-42.4733673	73	50858	12:26:54
-0.70870537	10.6497345	7.228316	-22.8908825	-42.4733673	56	50899	12:26:54
-1.4293821	8.183631	4.40786	-22.8908825	-42.4733673	62	50936	12:26:54
-0.8739103	8.059129	7.3576064	-22.8908825	-42.4733673	48	50977	12:26:54
0.53392327	10.127783	4.7933383	-22.8908825	-42.4733673	65	51016	12:26:55
-0.63208854	7.860404	6.483696	-22.8908825	-42.4733673	51	51055	12:26:55
-0.8834874	9.318518	5.9186473	-22.8908825	-42.4733673	58	51096	12:26:55
-0.4956149	8.806143	5.4134555	-22.8908825	-42.4733673	58	51135	12:26:55
-1.4341706	8.827691	6.141315	-22.8908825	-42.4733673	56	51176	12:26:55
-0.4668836	8.684034	4.9393888	-22.8908825	-42.4733673	60	51215	12:26:55
-0.81165916	9.196409	5.03516	-22.8908825	-42.4733673	61	51255	12:26:55
-0.56265455	8.79896	4.556305	-22.8908825	-42.4733673	63	51297	12:26:55
-0.6153286	8.657698	6.656084	-22.8908825	-42.4733673	53	51337	12:26:55
-0.5554718	8.358414	4.3456087	-22.8908825	-42.4733673	63	51375	12:26:55
-0.93616146	10.156514	6.0838523	-22.8908825	-42.4733673	59	51415	12:26:55
-0.72785956	6.9936767	5.0423427	-22.8908825	-42.4733673	54	51456	12:26:55
-0.7039168	9.153313	6.2514515	-22.8908825	-42.4733673	56	51497	12:26:55
-0.7039168	8.526012	3.9337935	-22.8908825	-42.4733673	65	51533	12:26:55
-1.0941836	8.954588	5.715134	-22.8908825	-42.4733673	58	51579	12:26:55
-0.76137936	8.528407	4.6832013	-22.8914224	-42.4731242	61	51612	12:26:55
-1.0391153	9.567522	6.447782	-22.8914224	-42.4731242	56	51651	12:26:55
-1.2713599	7.640131	6.2753944	-22.8914224	-42.4731242	51	51693	12:26:55
-0.8475733	9.646533	4.9585433	-22.8914224	-42.4731242	63	51732	12:26:55
-1.7478206	8.406299	6.2275085	-22.8914224	-42.4731242	54	51772	12:26:55
-1.7310607	8.013638	5.2674046	-22.8914224	-42.4731242	57	51813	12:26:55
-0.6296943	9.344854	4.477294	-22.8914224	-42.4731242	64	51852	12:26:55
-0.9768641	8.305739	4.965726	-22.8914224	-42.4731242	59	51895	12:26:55
